category	heavy_metal	heavy_metal	no	no	heavy_metal	heavy_metal	heavy_metal	heavy_metal	organic	organic	organic	organic	organic	organic	no
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Ferruginibacter|s_midas_s_12340	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	  10	  13	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Ferruginibacter|s_midas_s_1520	    0	    0	    0	    0	 2069	   8	    0	    0	   7	    4	    0	    0	   2	   1	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Ferruginibacter|s_midas_s_18387	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	 335	   5	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Ferruginibacter|s_midas_s_20584	    0	    0	    2	  467	   12	2586	    0	    0	   4	   43	    0	    0	 344	 465	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Ferruginibacter|s_midas_s_29117	    0	    0	   17	   44	   48	   0	    0	    0	1003	 2614	    0	    0	 159	   8	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Ferruginibacter|s_midas_s_29663	    0	    0	    0	    0	    0	   0	    0	    0	   1	    0	    0	    0	   4	   2	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Ferruginibacter|s_midas_s_31003	    0	    0	    0	    0	    0	   0	    0	    0	   0	    1	    0	    0	  22	   4	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Ferruginibacter|s_midas_s_5352	    1	    0	    0	    0	    0	   0	    0	    0	  15	    1	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Ferruginibacter|s_midas_s_64004	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	  39	   8	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Flavihumibacter|s_Flavihumibacter_cheonanensis	   30	   11	    1	    2	   26	   1	    8	    0	   0	    0	    0	   37	 113	  46	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Flavitalea|s_midas_s_61428	    0	    0	    0	    0	    0	  13	    0	    0	   0	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Lacibacter|s_midas_s_26863	   14	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	   0	   1	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Niabella|s_midas_s_67161	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	  31	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Sediminibacterium	    2	    0	   18	    0	    0	   0	    0	    0	   7	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Sediminibacterium|s_Sediminibacterium_salmoneum	 9992	   17	  133	  107	 2059	   0	    4	    0	  23	    4	    0	    0	 365	   0	   2
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Terrimonas	   50	    0	 1584	  205	  178	 274	    0	    0	2636	  545	   60	  305	2133	3656	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Terrimonas|s_midas_s_12954	    5	    0	    0	    0	    0	   0	    0	    0	   4	    1	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Terrimonas|s_midas_s_26468	    0	    0	    2	    0	    1	   0	    0	    0	  22	    0	    0	    1	 116	  97	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Terrimonas|s_midas_s_38034	    0	    0	  196	   24	    0	   0	    0	    0	 316	  106	    0	    0	   4	   3	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Terrimonas|s_midas_s_4563	    2	    0	    0	    0	    0	   0	    0	    0	   6	    1	    0	    0	  30	  16	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Terrimonas|s_midas_s_78751	    0	    0	    0	    0	  631	  24	    0	    0	   0	    1	    0	    0	   1	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_midas_g_10639|s_midas_s_16865	    0	    0	    0	    0	   11	  62	    0	    0	   0	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_midas_g_10639|s_midas_s_23012	    0	    0	    0	    0	   14	   9	    0	    0	   0	    0	    0	    0	   0	  39	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_midas_g_10639|s_midas_s_32850	    0	    0	    0	    0	    4	   9	    0	    0	   0	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_midas_g_10639|s_midas_s_50502	    0	    0	    0	    0	    0	  33	    0	    0	   0	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_midas_g_10639|s_midas_s_75466	    0	    0	    0	    0	    4	   2	    0	    0	   0	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_midas_g_1178|s_midas_s_1178	    3	    0	    2	    0	    0	   0	    0	    0	  79	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_midas_g_15446|s_midas_s_15446	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	 522	   1	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_midas_g_679|s_midas_s_24080	    0	    0	    1	    0	    0	   0	    0	    0	   0	    1	    0	    0	 473	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_midas_g_9628	    0	  209	   68	   24	    0	   0	    0	    0	   0	    1	    0	    0	  16	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Saprospiraceae	    0	    0	   18	    1	    0	   0	    0	    0	   2	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Saprospiraceae|g_Haliscomenobacter|s_midas_s_89821	    0	    0	    0	   10	    0	   0	    0	    0	   0	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Saprospiraceae|g_Phaeodactylibacter	    0	    0	    7	 1894	    0	   0	    0	    0	   3	   44	    0	    0	  14	   6	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Saprospiraceae|g_Phaeodactylibacter|s_midas_s_14188	    0	    0	    1	   38	    0	   0	    0	    0	   0	    2	    0	    0	  15	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Saprospiraceae|g_midas_g_1226|s_midas_s_13139	    0	    0	    7	    0	    0	   0	    0	    0	  15	    0	    0	    0	   0	   0	   5
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Saprospiraceae|g_midas_g_1409|s_midas_s_13530	    0	    0	   45	   34	    0	   0	    0	    0	   3	    3	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Saprospiraceae|g_midas_g_1409|s_midas_s_21140	    0	    0	   39	   12	    0	   0	    0	    0	  82	   76	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Saprospiraceae|g_midas_g_22069|s_midas_s_22069	    0	    0	    0	 4628	    0	   0	    0	    0	   0	  972	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_midas_f_108|g_midas_g_558|s_midas_s_10362	    0	    0	    0	    0	    0	   0	    0	    0	   1	    0	    0	    0	  22	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_midas_f_16288|g_midas_g_37596|s_midas_s_37596	    0	    0	 1745	    0	    0	   0	    0	    0	   0	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_midas_f_2092|g_midas_g_29480|s_midas_s_41821	    0	    0	    0	    0	    0	   0	    0	    0	   1	    0	    0	    0	  38	  67	   1
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_midas_f_2092|g_midas_g_51895|s_midas_s_60719	    0	    0	    0	    0	    0	   0	    0	    0	   6	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_midas_f_45188|g_midas_g_45188|s_midas_s_45188	    0	    0	   93	    0	    0	   0	    0	    0	   0	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Cytophagales|f_Cyclobacteriaceae	    0	    0	    2	    6	    0	   0	    0	    0	   0	    1	    0	    0	 272	  40	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Cytophagales|f_Cyclobacteriaceae|g_Algoriphagus|s_midas_s_26486	    1	  449	    1	    0	    0	  27	    0	    1	   0	    0	    0	    0	  26	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Cytophagales|f_Cytophagaceae|g_Cytophaga|s_midas_s_55661	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	  36	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Cytophagales|f_Microscillaceae|g_Chryseolinea|s_midas_s_16616	    5	   61	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	   8	  25	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Cytophagales|f_Microscillaceae|g_Hassallia|s_midas_s_10463	    3	    0	    0	    0	    0	   0	    0	    0	   1	    0	    0	    0	   5	   0	   1
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Cytophagales|f_Microscillaceae|g_OLB12	    3	   25	    0	   61	    0	   0	    0	    0	   0	    1	    0	    0	  38	   9	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Cytophagales|f_Microscillaceae|g_OLB12|s_midas_s_11674	    0	    0	    0	    2	    0	   0	    0	    0	   1	   16	    0	    0	 163	  38	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Cytophagales|f_Microscillaceae|g_OLB12|s_midas_s_21352	    0	    0	    0	    0	    0	   0	    0	    0	   2	   25	    0	    0	   5	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Cytophagales|f_Microscillaceae|g_OLB12|s_midas_s_21673	    0	   12	    0	  417	    0	   0	    0	    0	   3	   64	    0	    0	1118	 726	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Cytophagales|f_Microscillaceae|g_midas_g_12864|s_midas_s_12864	    0	 8709	    0	  421	    0	   0	    0	    0	   0	  482	    0	    0	   0	   8	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Cytophagales|f_Microscillaceae|g_midas_g_13963	    0	    0	   70	    0	    0	   0	    0	    0	 544	   42	    2	    1	   3	   0	2226
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Cytophagales|f_Microscillaceae|g_midas_g_20533|s_midas_s_20533	    0	    0	    1	   30	    0	   0	    0	    0	   0	  153	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Cytophagales|f_Microscillaceae|g_midas_g_29279|s_midas_s_35538	    1	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	  24	   1	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Cytophagales|f_Microscillaceae|g_midas_g_4133|s_midas_s_11880	   14	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Cytophagales|f_Microscillaceae|g_midas_g_5053|s_midas_s_11234	    4	   94	    0	    1	    0	   0	    0	    0	   0	    2	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Cytophagales|f_Microscillaceae|g_midas_g_9742|s_midas_s_9742	    0	    0	    0	   17	    0	   0	    0	    0	   0	   13	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Cytophagales|f_Microscillaceae|g_midas_g_9811	    0	    0	    0	    0	    0	 123	    0	    0	   0	   58	    0	    0	   1	  41	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Cytophagales|f_Spirosomaceae|g_midas_g_21395|s_midas_s_21395	    0	    0	   60	    0	    0	   0	    0	    0	   6	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Flavobacteriales	    0	    0	    2	    0	    0	   0	    0	    0	   7	    0	    1	    1	   9	   0	1199
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Flavobacteriales|f_Crocinitomicaceae|g_Fluviicola|s_midas_s_25833	    0	    0	    0	    0	  144	  26	    0	    0	   0	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Flavobacteriales|f_Flavobacteriaceae|g_Flavobacterium	    0	    0	    1	    0	    0	   0	    4	  179	 249	    2	    8	   10	   6	   0	2628
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Flavobacteriales|f_Flavobacteriaceae|g_Flavobacterium|s_Flavobacterium_cheonhonense	    0	    0	    0	    0	    1	   0	    0	    0	   0	    0	    0	    0	   0	   0	 558
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Flavobacteriales|f_Flavobacteriaceae|g_Flavobacterium|s_Flavobacterium_croceum	    0	    0	    0	    0	    0	   0	    0	    0	  21	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Flavobacteriales|f_Flavobacteriaceae|g_Flavobacterium|s_Flavobacterium_filum	    0	    0	    2	   11	    0	   0	    0	    0	   0	   46	    0	 5120	 953	  21	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Flavobacteriales|f_Flavobacteriaceae|g_Flavobacterium|s_Flavobacterium_humicola	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	   19	    3	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Flavobacteriales|f_Flavobacteriaceae|g_Flavobacterium|s_Flavobacterium_urocaniciphilum	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	   0	   0	  11
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Flavobacteriales|f_Flavobacteriaceae|g_Flavobacterium|s_midas_s_20351	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	 339	   5	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Flavobacteriales|f_Flavobacteriaceae|g_Flavobacterium|s_midas_s_35373	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    2	1607	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Flavobacteriales|f_Flavobacteriaceae|g_Flavobacterium|s_midas_s_63550	    0	    0	    0	    0	    1	 351	    0	    0	   0	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Flavobacteriales|f_NS9_marine_group	    0	    0	   39	 2220	    0	   0	    0	    0	  11	  148	    0	    0	5662	6002	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Flavobacteriales|f_NS9_marine_group|g_midas_g_16239|s_midas_s_19908	    0	    0	  158	    0	    0	   0	    0	    0	 566	    7	    0	    0	   4	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Flavobacteriales|f_NS9_marine_group|g_midas_g_225|s_midas_s_29701	    0	    0	   13	    5	    0	   0	    0	    0	  31	   14	    0	    0	 444	 166	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Flavobacteriales|f_NS9_marine_group|g_midas_g_225|s_midas_s_4255	    0	    0	    4	    0	    0	   0	    0	    0	 123	    5	    0	    0	   0	   1	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Flavobacteriales|f_NS9_marine_group|g_midas_g_3186|s_midas_s_10865	    0	    0	    0	    0	    0	   0	    0	    0	  18	    0	    0	    0	   4	   1	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Flavobacteriales|f_NS9_marine_group|g_midas_g_3186|s_midas_s_14641	    0	    0	    0	    0	    0	   0	    0	    0	 200	    3	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Flavobacteriales|f_NS9_marine_group|g_midas_g_3186|s_midas_s_3186	    0	    0	   31	    0	    0	   0	    0	    0	   0	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Flavobacteriales|f_Weeksellaceae|g_Chryseobacterium	   48	   28	   96	   77	  130	  73	 3029	  538	  35	   30	   19	   27	  69	  32	 103
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Flavobacteriales|f_Weeksellaceae|g_Chryseobacterium|s_midas_s_53435	    0	    2	    0	    0	    1	   1	    0	    6	   0	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Flavobacteriales|f_Weeksellaceae|g_Chryseobacterium|s_midas_s_88065	    0	  697	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Flavobacteriales|f_Weeksellaceae|g_Cloacibacterium	    0	    1	    3	    0	    0	   0	    0	    0	   2	    0	    0	    2	   5	   1	  11
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Sphingobacteriales|f_AKYH767|g_midas_g_1363|s_midas_s_12170	    0	    0	    9	    0	    0	   0	    0	    0	  45	    3	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Sphingobacteriales|f_AKYH767|g_midas_g_1363|s_midas_s_1657	    0	    0	    0	    0	    0	   0	    0	    0	  21	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Sphingobacteriales|f_AKYH767|g_midas_g_2126|s_midas_s_5484	    0	    0	    0	    0	    0	   0	    0	    0	  62	   16	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Sphingobacteriales|f_AKYH767|g_midas_g_2126|s_midas_s_9620	    0	    0	    0	    5	    0	   0	    0	    0	  39	   39	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Sphingobacteriales|f_AKYH767|g_midas_g_283|s_midas_s_283	    0	    0	    9	    1	    0	   0	    0	    0	  48	   58	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Sphingobacteriales|f_AKYH767|g_midas_g_9646|s_midas_s_9646	    0	    0	    2	  292	    0	   0	    0	    0	   0	  117	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Sphingobacteriales|f_LiUU-11-161|g_midas_g_7606|s_midas_s_7606	    0	    0	    0	    1	    0	   0	    0	    0	   0	    0	    0	    0	  25	  28	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Sphingobacteriales|f_LiUU-11-161|g_midas_g_8891|s_midas_s_8891	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	   1	   7	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Sphingobacteriales|f_NS11-12_marine_group|g_midas_g_10077|s_midas_s_16811	    0	  204	    0	    0	  199	 139	    0	    0	   0	    0	    1	    0	   0	   0	   4
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Sphingobacteriales|f_NS11-12_marine_group|g_midas_g_18405|s_midas_s_18405	    0	    0	    0	    0	    0	  13	    0	    0	   0	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Sphingobacteriales|f_NS11-12_marine_group|g_midas_g_41908|s_midas_s_41908	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	  14	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Sphingobacteriales|f_NS11-12_marine_group|g_midas_g_42462|s_midas_s_42462	    1	    5	    0	    3	    0	   0	    0	    0	   0	    1	    0	    0	1377	   1	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Sphingobacteriales|f_NS11-12_marine_group|g_midas_g_5889|s_midas_s_15378	    0	    0	    7	    0	    0	   0	    0	    0	  60	    4	    0	    0	   2	  41	   1
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Sphingobacteriales|f_NS11-12_marine_group|g_midas_g_7176|s_midas_s_55474	    0	    0	   13	    0	    0	   0	    0	    0	  33	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Sphingobacteriales|f_Sphingobacteriaceae|g_Nubsella|s_midas_s_43564	    0	    8	    0	    0	    0	   0	    0	    0	   0	    0	    0	    4	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Sphingobacteriales|f_Sphingobacteriaceae|g_Pedobacter	    0	    4	    0	    0	    0	   0	    0	    0	   0	    0	    0	  160	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Sphingobacteriales|f_env.OPS_17|g_midas_g_3487|s_midas_s_5378	    0	    0	   15	   98	    0	   0	    0	    0	   3	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Sphingobacteriales|f_env.OPS_17|g_midas_g_3813|s_midas_s_13212	    0	    0	    7	    0	    0	   0	    0	    0	 347	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Sphingobacteriales|f_env.OPS_17|g_midas_g_3838	    0	    0	   17	    0	    0	   0	    0	    0	   0	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Sphingobacteriales|f_env.OPS_17|g_midas_g_3838|s_midas_s_33959	    0	    0	    0	  241	    0	   0	    0	    0	   0	   13	    0	    0	  11	   1	   0
k_Bacteria|p_Bacteroidota|c_Ignavibacteria|o_Ignavibacteriales|f_Ignavibacteriaceae|g_Ignavibacterium|s_midas_s_12514	    0	    0	    0	   44	    0	   0	    0	    0	  10	   34	    0	    0	 236	   0	   0
k_Bacteria|p_Bacteroidota|c_Ignavibacteria|o_Ignavibacteriales|f_Ignavibacteriaceae|g_Ignavibacterium|s_midas_s_16060	    0	    0	    0	   45	    0	   0	    0	    0	   2	   11	    0	    0	  29	   0	   0
k_Bacteria|p_Bacteroidota|c_Ignavibacteria|o_Ignavibacteriales|f_Ignavibacteriaceae|g_Ignavibacterium|s_midas_s_1940	    0	    0	    0	    0	    0	   0	    0	    0	   5	    2	    0	    0	 215	   2	   0
k_Bacteria|p_Bacteroidota|c_Ignavibacteria|o_Ignavibacteriales|f_Ignavibacteriaceae|g_Ignavibacterium|s_midas_s_29150	    0	    0	    0	    0	    0	   0	    0	    0	  22	  201	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Ignavibacteria|o_Ignavibacteriales|f_Melioribacteraceae|g_midas_g_18788|s_midas_s_18788	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	  17	   0	   0
k_Bacteria|p_Bacteroidota|c_Ignavibacteria|o_Ignavibacteriales|f_PHOS-HE36|g_midas_g_179|s_midas_s_11460	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	  43	  75	   0
k_Bacteria|p_Bacteroidota|c_Ignavibacteria|o_Ignavibacteriales|f_PHOS-HE36|g_midas_g_179|s_midas_s_179	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	   6	  16	   0
k_Bacteria|p_Bacteroidota|c_Ignavibacteria|o_SJA-28|f_midas_f_31|g_midas_g_171	    0	    0	   28	  368	    0	   0	    0	    0	 148	  181	    0	    0	  44	   0	   0
k_Bacteria|p_Bacteroidota|c_Ignavibacteria|o_SJA-28|f_midas_f_31|g_midas_g_31|s_midas_s_589	    0	    0	    0	    0	    0	   0	    0	    0	   0	    7	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Kapabacteria|o_Kapabacteriales|f_midas_f_2685|g_midas_g_9266|s_midas_s_34936	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	   6	   8	   0
k_Bacteria|p_Bacteroidota|c_Kapabacteria|o_Kapabacteriales|f_midas_f_428|g_midas_g_19197|s_midas_s_19197	    0	    0	    4	  692	    0	   0	    0	    0	   0	   19	    0	  171	   0	 118	   0
k_Bacteria|p_Bacteroidota|c_Kapabacteria|o_Kapabacteriales|f_midas_f_428|g_midas_g_19197|s_midas_s_24777	    0	    0	   19	    0	    0	   0	    0	    0	 700	    5	    0	    0	  12	   0	   0
k_Bacteria|p_Bacteroidota|c_Kapabacteria|o_Kapabacteriales|f_midas_f_428|g_midas_g_19197|s_midas_s_68050	    0	    0	  568	    0	    0	   0	    0	    0	   6	    1	    0	    0	   1	   0	   0
k_Bacteria|p_Bacteroidota|c_Kapabacteria|o_Kapabacteriales|f_midas_f_428|g_midas_g_428|s_midas_s_27275	    0	    0	    0	    0	    0	   0	    0	    0	   0	  329	    0	    0	 127	 322	   0
k_Bacteria|p_Bacteroidota|c_Kapabacteria|o_Kapabacteriales|f_midas_f_428|g_midas_g_428|s_midas_s_428	    0	    0	    3	    0	    0	   0	    0	    0	   4	    1	    0	    0	   1	   0	   0
k_Bacteria|p_Bacteroidota|c_Kapabacteria|o_Kapabacteriales|f_midas_f_428|g_midas_g_9818|s_midas_s_9818	    0	    0	   69	    0	    0	   0	    0	    0	  68	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Kapabacteria|o_Kapabacteriales|f_midas_f_93|g_midas_g_39761|s_midas_s_57063	    0	    0	    0	    0	    0	   0	    0	    0	   1	    0	    0	    0	  35	   0	   0
k_Bacteria|p_Bacteroidota|c_Kapabacteria|o_Kapabacteriales|f_midas_f_93|g_midas_g_8867|s_midas_s_8867	    0	    0	    6	    0	    0	   0	    0	    0	  29	    0	    0	    0	 382	   0	   0
k_Bacteria|p_Bacteroidota|c_Kryptonia|o_Kryptoniales|f_MSB-3C8|g_midas_g_35786|s_midas_s_65051	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	  41	   0	   0
